code_dept_commune,code_departement,code_commune_INSEE,nom_commune,nb_arrets
91-91649,91,91649,Vert-le-Petit,18
68-68112,68,68112,Guebwiller,18
53-53105,53,53105,Gesnes,18
41-41008,41,41008,Avaray,18
41-41010,41,41010,Azé,18
31-31589,31,31589,Villenouvelle,18
37-37226,37,37226,Sainte-Maure-de-Touraine,18
22-22214,22,22214,Plouézec,18
63-63089,63,63089,Chappes,18
27-27316,27,27316,Hauville,18
37-37228,37,37228,Saint-Nicolas-de-Bourgueil,18
05-05004,05,05004,Ancelle,18
41-41039,41,41039,Chapelle-Saint-Martin-en-Plaine,18
62-62001,62,62001,Ablain-Saint-Nazaire,18
37-37230,37,37230,Saint-Ouen-les-Vignes,18
41-41051,41,41051,Chissay-en-Touraine,18
57-57412,57,57412,Longeville-lès-Metz,18
62-62803,62,62803,Surques,18
83-83127,83,83127,Signes,18
59-59557,59,59557,Saultain,18
28-28055,28,28055,Boullay-Thierry,18
57-57582,57,57582,Richemont,18
59-59402,59,59402,Millam,18
38-38183,38,38183,Granieu,18
57-57588,57,57588,Rodemack,18
84-84082,84,84082,Mormoiron,18
57-57427,57,57427,Lutzelbourg,18
17-17447,17,17447,Thou,18
59-59401,59,59401,Méteren,18
74-74065,74,74065,Chaumont,18
62-62786,62,62786,Selles,18
68-68157,68,68157,Jebsheim,18
78-78384,78,78384,Médan,18
37-37201,37,37201,Rivière,18
57-57477,57,57477,Montbronn,18
57-57484,57,57484,Morsbach,18
25-25473,25,25473,Pugey,18
25-25502,25,25502,Roset-Fluans,18
74-74075,74,74075,Chilly,18
85-85201,85,85201,Saint-Benoist-sur-Mer,18
38-38171,38,38171,Forteresse,18
95-95554,95,95554,Saint-Gervais,18
11-11201,11,11201,Leuc,18
31-31497,31,31497,Saint-Loup-Cammas,18
25-25542,25,25542,Serre-les-Sapins,18
57-57459,57,57459,Merschweiller,18
57-57535,57,57535,Petit-Réderching,18
25-25454,25,25454,Pirey,18
80-80020,80,80020,Allonville,18
22-22226,22,22226,Ploumilliau,18
14-14576,14,14576,Val-de-Vie,18
31-31484,31,31484,Saint-Geniès-Bellevue,18
76-76648,76,76648,Saint-Saëns,18
49-49046,49,49046,Brézé,18
37-37171,37,37171,Noizay,18
62-62008,62,62008,Acquin-Westbécourt,18
03-03212,03,03212,Quinssaines,18
62-62583,62,62583,Mondicourt,18
62-62036,62,62036,Anvin,18
67-67135,67,67135,Ettendorf,18
54-54336,54,54336,Maizières,18
57-57650,57,57650,Sierck-les-Bains,18
60-60597,60,60597,Saint-Sauveur,18
2B-2B034,2B,2B034,Belgodère,18
32-32410,32,32410,Samatan,18
60-60591,60,60591,Saint-Paul,18
41-41143,41,41143,Mondoubleau,18
28-28076,28,28076,Chapelle-Forainvilliers,18
28-28178,28,28178,Germainville,18
28-28047,28,28047,Boisville-la-Saint-Père,18
68-68007,68,68007,Andolsheim,18
08-08346,08,08346,Prix-lès-Mézières,18
35-35040,35,35040,Breteil,18
41-41156,41,41156,Mulsans,18
45-45326,45,45326,Tournoisis,18
74-74006,74,74006,Allonzier-la-Caille,18
68-68004,68,68004,Altkirch,18
37-37249,37,37249,Sonzay,18
41-41158,41,41158,Naveil,18
81-81131,81,81131,Lagrave,18
49-49321,49,49321,Saint-Sigismond,18
28-28045,28,28045,Boissy-en-Drouais,18
17-17412,17,17412,Saint-Vaize,18
26-26074,26,26074,Chapelle-en-Vercors,18
74-74114,74,74114,Essert-Romand,18
68-68022,68,68022,Battenheim,18
14-14495,14,14495,Périers-sur-le-Dan,18
22-22324,22,22324,Saint-Quay-Perros,18
60-60670,60,60670,Verneuil-en-Halatte,18
80-80464,80,80464,Lanchères,18
62-62536,62,62536,Magnicourt-en-Comte,18
57-57358,57,57358,Kédange-sur-Canner,18
60-60666,60,60666,Ver-sur-Launette,18
31-31384,31,31384,Montlaur,18
31-31383,31,31383,Montjoire,18
31-31381,31,31381,Montgiscard,18
77-77306,77,77306,Montereau-sur-le-Jard,18
41-41094,41,41094,Fresnes,18
74-74027,74,74027,Balme-de-Thuy,18
37-37237,37,37237,Saint-Roch,18
62-62022,62,62022,Alincthun,18
53-53260,53,53260,Simplé,18
10-10245,10,10245,Montaulin,18
41-41105,41,41105,Josnes,18
71-71204,71,71204,Fragnes-La Loyère,18
31-31358,31,31358,Montastruc-la-Conseillère,18
57-57344,57,57344,Imling,18
17-17470,17,17470,Villars-les-Bois,18
68-68040,68,68040,Bitschwiller-lès-Thann,18
57-57340,57,57340,Hundling,18
49-49371,49,49371,Vezins,18
78-78043,78,78043,Bailly,18
62-62603,62,62603,Nesles,18
18-18103,18,18103,Graçay,18
62-62165,62,62165,Bournonville,18
42-42284,42,42284,Saint-Romain-la-Motte,18
26-26311,26,26311,Saint-Laurent-en-Royans,18
38-38406,38,38406,Saint-Julien-de-l'Herms,18
56-56186,56,56186,Quiberon,18
66-66140,66,66140,Pézilla-la-Rivière,18
26-26305,26,26305,Saint-Gervais-sur-Roubion,18
88-88447,88,88447,Saulxures-sur-Moselotte,18
72-72310,72,72310,Saint-Pavace,18
33-33355,33,33355,Rions,18
72-72259,72,72259,Rouperroux-le-Coquet,18
45-45018,45,45018,Auxy,18
54-54065,54,54065,Bertrichamps,18
62-62648,62,62648,Parenty,18
95-95676,95,95676,Villers-en-Arthies,18
53-53190,53,53190,Ribay,18
13-13094,13,13094,Saint-Étienne-du-Grès,18
59-59224,59,59224,Féchain,18
78-78349,78,78349,Longvilliers,18
59-59319,59,59319,Hoymille,18
36-36045,36,36045,Châtillon-sur-Indre,18
59-59297,59,59297,Hélesmes,18
77-77182,77,77182,Ferté-Gaucher,18
72-72005,72,72005,Ancinnes,18
73-73097,73,73097,Curienne,18
55-55463,55,55463,Saint-Mihiel,18
79-79171,79,79171,Mauzé-Thouarsais,18
77-77168,77,77168,Égreville,18
38-38274,38,38274,Nantoin,18
59-59515,59,59515,Rouvignies,18
10-10173,10,10173,Isle-Aumont,18
06-06035,06,06035,Castellar,18
36-36215,36,36215,Ségry,18
73-73210,73,73210,Puygros,18
67-67252,67,67252,Kurtzenhouse,18
13-13066,13,13066,Noves,18
34-34134,34,34134,Lavérune,18
45-45179,45,45179,Lailly-en-Val,18
86-86091,86,86091,Curzay-sur-Vonne,18
06-06023,06,06023,Breil-sur-Roya,18
51-51559,51,51559,Suippes,18
62-62416,62,62416,Hautecloque,18
49-49334,49,49334,Sermaise,18
73-73054,73,73054,Bourg-Saint-Maurice,18
30-30255,30,30255,Saint-Geniès-de-Malgoirès,18
27-27151,27,27151,Charleval,18
05-05122,05,05122,Roche-de-Rame,18
42-42285,42,42285,Saint-Romain-le-Puy,18
38-38073,38,38073,Chantelouve,18
76-76325,76,76325,Grémonville,18
55-55427,55,55427,Revigny-sur-Ornain,18
62-62273,62,62273,Doudeauville,18
38-38426,38,38426,Saint-Maximin,18
88-88486,88,88486,Vagney,18
38-38083,38,38083,Charette,18
67-67339,67,67339,Betschdorf,18
30-30276,30,30276,Saint-Laurent-d'Aigouze,18
10-10353,10,10353,Saint-Mesmin,18
33-33425,33,33425,Saint-Laurent-d'Arce,18
18-18087,18,18087,Dun-sur-Auron,18
70-70207,70,70207,Échenoz-la-Méline,18
88-88289,88,88289,Martigny-les-Bains,18
18-18140,18,18140,Massay,18
56-56046,56,56046,Crach,18
17-17141,17,17141,Dompierre-sur-Charente,18
59-59238,59,59238,Flines-lès-Mortagne,18
28-28235,28,28235,Marchezais,18
77-77241,77,77241,Juilly,18
33-33447,33,33447,Saint-Médard-de-Guizières,18
66-66190,66,66190,Salses-le-Château,18
72-72002,72,72002,Aillières-Beauvoir,18
27-27180,27,27180,Courcelles-sur-Seine,18
38-38296,38,38296,Passage,18
34-34087,34,34087,Cournonsec,18
45-45046,45,45046,Boulay-les-Barres,18
45-45029,45,45029,Beaulieu-sur-Loire,18
59-59535,59,59535,Saint-Jans-Cappel,18
77-77246,77,77246,Léchelle,18
67-67313,67,67313,Mutzig,18
95-95584,95,95584,Santeuil,18
62-62373,62,62373,Givenchy-lès-la-Bassée,18
45-45031,45,45031,Bellegarde,18
88-88320,88,88320,Nayemont-les-Fosses,18
43-43148,43,43148,Paulhaguet,18
28-28245,28,28245,Meslay-le-Grenet,18
62-62335,62,62335,Fillièvres,18
56-56131,56,56131,Meslan,18
10-10401,10,10401,Vendeuvre-sur-Barse,18
53-53191,53,53191,Roë,18
90-90104,90,90104,Vézelois,18
02-02292,02,02292,Étampes-sur-Marne,18
17-17235,17,17235,Migron,18
49-49131,49,49131,Épieds,18
50-50184,50,50184,Flamanville,18
62-62327,62,62327,Febvin-Palfart,18
72-72271,72,72271,Saint-Célerin,18
86-86111,86,86111,Ingrandes,18
76-76249,76,76249,Étaimpuis,18
17-17075,17,17075,Cabariot,18
62-62330,62,62330,Festubert,18
26-26379,26,26379,Granges-les-Beaumont,18
43-43124,43,43124,Loudes,18
78-78410,78,78410,Moisson,18
71-71585,71,71585,Virey-le-Grand,18
50-50539,50,50539,Saint-Pierre-Église,18
10-10368,10,10368,Savières,18
77-77455,77,77455,Soignolles-en-Brie,18
33-33480,33,33480,Saint-Sulpice-de-Faleyrens,18
59-59310,59,59310,Hon-Hergies,18
49-49253,49,49253,Puy-Notre-Dame,18
53-53173,53,53173,Pallu,18
45-45198,45,45198,Marsainvilliers,18
07-07013,07,07013,Ardoix,18
57-57066,57,57066,Berthelming,18
53-53039,53,53039,Bourgneuf-la-Forêt,18
57-57119,57,57119,Buhl-Lorraine,18
62-62446,62,62446,Hesdigneul-lès-Boulogne,18
03-03167,03,03167,Mazirat,18
87-87174,87,87174,Saint-Paul,18
59-59608,59,59608,Vendegies-sur-Écaillon,18
30-30333,30,30333,Uchaud,18
55-55184,55,55184,Euville,18
37-37013,37,37013,Avrillé-les-Ponceaux,18
59-59089,59,59089,Bollezeele,18
55-55253,55,55253,Islettes,18
34-34164,34,34164,Montaud,18
67-67487,67,67487,Surbourg,18
88-88059,88,88059,Biffontaine,18
38-38552,38,38552,Villard-Saint-Christophe,18
28-28004,28,28004,Allonnes,18
62-62438,62,62438,Hermaville,18
77-77406,77,77406,Saint-Denis-lès-Rebais,18
76-76437,76,76437,Meulers,18
38-38513,38,38513,Treffort,18
37-37010,37,37010,Auzouer-en-Touraine,18
38-38521,38,38521,Valette,18
38-38046,38,38046,Bizonnes,18
53-53184,53,53184,Préaux,18
84-84067,84,84067,Loriol-du-Comtat,18
74-74226,74,74226,Saint-André-de-Boëge,18
38-38528,38,38528,Vaulnaveys-le-Bas,18
78-78289,78,78289,Grosrouvre,18
42-42145,42,42145,Montagny,18
28-28346,28,28346,Saint-Lubin-de-Cravant,18
33-33213,33,33213,Brède,18
77-77413,77,77413,Saint-Germain-sur-Morin,18
15-15142,15,15142,Neuvéglise-sur-Truyère,18
02-02767,02,02767,Vauxrezis,18
37-37009,37,37009,Autrèche,18
73-73019,73,73019,Argentine,18
60-60245,60,60245,Formerie,18
17-17304,17,17304,Rouffiac,18
47-47076,47,47076,Cuq,18
59-59547,59,59547,Saint-Vaast-en-Cambrésis,18
78-78576,78,78576,Saint-Rémy-l'Honoré,18
81-81048,81,81048,Cagnac-les-Mines,18
04-04034,04,04034,Brillanne,18
15-15265,15,15265,Ydes,18
59-59340,59,59340,Leffrinckoucke,18
59-59058,59,59058,Beaufort,18
33-33515,33,33515,Soulignac,18
05-05045,05,05045,Crots,18
38-38041,38,38041,Bessins,18
74-74096,74,74096,Cruseilles,18
81-81297,81,81297,Terssac,18
67-67435,67,67435,Sarrewerden,18
68-68372,68,68372,Willer-sur-Thur,18
38-38489,38,38489,Siévoz,18
33-33274,33,33274,Martillac,18
64-64504,64,64504,Sare,18
69-69112,69,69112,Lentilly,18
68-68368,68,68368,Wihr-au-Val,18
38-38038,38,38038,Belmont,18
89-89354,89,89354,Saint-Martin-du-Tertre,18
77-77116,77,77116,Choisy-en-Brie,18
64-64060,64,64060,Artiguelouve,18
34-34069,34,34069,Cazouls-lès-Béziers,18
67-67005,67,67005,Alteckendorf,18
11-11293,11,11293,Pomas,18
25-25011,25,25011,Allenjoie,18
55-55351,55,55351,Montmédy,18
72-72330,72,72330,Savigné-sous-le-Lude,18
62-62640,62,62640,Orville,18
95-95612,95,95612,Thillay,18
62-62234,62,62234,Conchy-sur-Canche,18
15-15266,15,15266,Yolet,18
63-63128,63,63128,Crevant-Laveine,18
60-60341,60,60341,Lagny-le-Sec,17
79-79351,79,79351,Villiers-en-Plaine,17
76-76239,76,76239,Épretot,17
62-62853,62,62853,Vieil-Moutier,17
31-31592,31,31592,Larra,17
60-60233,60,60233,Feuquières,17
54-54364,54,54364,Méréville,17
34-34084,34,34084,Corneilhan,17
76-76210,76,76210,Dampierre-Saint-Nicolas,17
48-48185,48,48185,Salelles,17
84-84012,84,84012,Beaumes-de-Venise,17
54-54038,54,54038,Azerailles,17
78-78239,78,78239,Follainville-Dennemont,17
60-60277,60,60277,Goincourt,17
07-07201,07,07201,Ruoms,17
17-17315,17,17315,Saint-Christophe,17
59-59659,59,59659,Wignehies,17
34-34086,34,34086,Courniou,17
05-05174,05,05174,Val-des-Prés,17
31-31574,31,31574,Vernet,17
33-33185,33,33185,Génissac,17
59-59589,59,59589,Thiant,17
59-59551,59,59551,Saméon,17
72-72077,72,72077,Chenu,17
88-88253,88,88253,Jeuxey,17
54-54376,54,54376,Montenoy,17
74-74310,74,74310,Viuz-la-Chiésaz,17
72-72144,72,72144,Gréez-sur-Roc,17
25-25467,25,25467,Pouilley-les-Vignes,17
02-02464,02,02464,Margival,17
74-74121,74,74121,Excenevex,17
60-60001,60,60001,Abancourt,17
59-59662,59,59662,Winnezeele,17
14-14739,14,14739,Ver-sur-Mer,17
78-78442,78,78442,Neauphle-le-Château,17
76-76321,76,76321,Grandes-Ventes,17
14-14701,14,14701,Tourgéville,17
78-78381,78,78381,Maulette,17
60-60594,60,60594,Saint-Quentin-des-Prés,17
60-60149,60,60149,Chevrières,17
76-76148,76,76148,Bures-en-Bray,17
60-60590,60,60590,Saint-Omer-en-Chaussée,17
54-54109,54,54109,Ceintrey,17
33-33321,33,33321,Peujard,17
76-76331,76,76331,Grugny,17
39-39368,39,39368,Hauts de Bienne,17
72-72126,72,72126,Épineu-le-Chevreuil,17
07-07199,07,07199,Rosières,17
38-38436,38,38436,Saint-Paul-de-Varces,17
81-81315,81,81315,Vielmur-sur-Agout,17
34-34082,34,34082,Combaillaux,17
27-27502,27,27502,Rugles,17
57-57740,57,57740,Waldwisse,17
46-46240,46,46240,Rocamadour,17
88-88011,88,88011,Arches,17
81-81227,81,81227,Roquecourbe,17
76-76557,76,76557,Saint-Arnoult,17
59-59467,59,59467,Pont-sur-Sambre,17
27-27483,27,27483,Quatremare,17
50-50087,50,50087,Brix,17
76-76401,76,76401,Arelaune-en-Seine,17
17-17059,17,17059,Bourgneuf,17
72-72049,72,72049,Bruère-sur-Loir,17
83-83152,83,83152,Rayol-Canadel-sur-Mer,17
85-85296,85,85296,Treize-Vents,17
50-50493,50,50493,Saint-Jean-des-Champs,17
59-59005,59,59005,Allennes-les-Marais,17
60-60211,60,60211,Éragny-sur-Epte,17
39-39526,39,39526,Tavaux,17
89-89160,89,89160,Étigny,17
79-79326,79,79326,Thénezay,17
76-76279,76,76279,Foucart,17
27-27425,27,27425,Nassandres sur Risle,17
88-88386,88,88386,Remomeix,17
34-34063,34,34063,Caux,17
59-59501,59,59501,Rieulay,17
76-76286,76,76286,Fresnoy-Folny,17
62-62882,62,62882,Wavrans-sur-l'Aa,17
76-76587,76,76587,Sainte-Hélène-Bondeville,17
04-04123,04,04123,Mison,17
74-74158,74,74158,Machilly,17
59-59572,59,59572,Solre-le-Château,17
08-08142,08,08142,Donchery,17
59-59622,59,59622,Villers-en-Cauchies,17
60-60639,60,60639,Tillé,17
59-59619,59,59619,Villereau,17
81-81288,81,81288,Sorèze,17
27-27394,27,27394,Martot,17
54-54176,54,54176,Einville-au-Jard,17
88-88089,88,88089,Chapelle-devant-Bruyères,17
91-91121,91,91121,Buno-Bonnevaux,17
62-62055,62,62055,Audrehem,17
41-41175,41,41175,Pezou,17
34-34322,34,34322,Valflaunès,17
62-62749,62,62749,Saint-Georges,17
14-14409,14,14409,Merville-Franceville-Plage,17
63-63285,63,63285,Pontgibaud,17
06-06151,06,06151,Utelle,17
31-31269,31,31269,Lamasquère,17
79-79230,79,79230,Rom,17
14-14126,14,14126,Cambremer,17
22-22076,22,22076,Hénanbihen,17
72-72283,72,72283,Saint-Germain-d'Arcé,17
26-26367,26,26367,Venterol,17
06-06109,06,06109,Roquette-sur-Var,17
77-77176,77,77176,Faremoutiers,17
87-87020,87,87020,Bonnac-la-Côte,17
53-53181,53,53181,Pontmain,17
77-77261,77,77261,Lorrez-le-Bocage-Préaux,17
72-72321,72,72321,Saint-Symphorien,17
77-77161,77,77161,Dormelles,17
41-41131,41,41131,Mazangé,17
27-27043,27,27043,Baux-de-Breteuil,17
74-74016,74,74016,Archamps,17
22-22183,22,22183,Plémet,17
80-80582,80,80582,Namps-Maisnil,17
79-79210,79,79210,Pin,17
93-93033,93,93033,Gournay-sur-Marne,17
62-62439,62,62439,Hermelinghen,17
55-55398,55,55398,Pagny-sur-Meuse,17
67-67405,67,67405,Rœschwoog,17
14-14347,14,14347,Dialan sur Chaîne,17
79-79030,79,79030,Beaussais-Vitré,17
66-66230,66,66230,Vinça,17
59-59387,59,59387,Marquette-en-Ostrevant,17
01-01452,01,01452,Virieu-le-Grand,17
73-73327,73,73327,Vions,17
73-73249,73,73249,Saint-Jeoire-Prieuré,17
21-21223,21,21223,Daix,17
79-79166,79,79166,Marigny,17
26-26348,26,26348,Taulignan,17
01-01157,01,01157,Fareins,17
90-90047,90,90047,Fontaine,17
77-77529,77,77529,Voulangis,17
85-85177,85,85177,Poiré-sur-Velluire,17
59-59225,59,59225,Feignies,17
62-62728,62,62728,Rumaucourt,17
77-77231,77,77231,Isles-les-Meldeuses,17
31-31106,31,31106,Caraman,17
95-95658,95,95658,Vigny,17
52-52045,52,52045,Bettancourt-la-Ferrée,17
79-79249,79,79249,Saint-Gelais,17
59-59313,59,59313,Hordain,17
35-35022,35,35022,Bécherel,17
62-62134,62,62134,Bimont,17
30-30177,30,30177,Monteils,17
50-50484,50,50484,Saint-Hilaire-du-Harcouët,17
95-95452,95,95452,Nointel,17
67-67350,67,67350,Oberschaeffolsheim,17
30-30082,30,30082,Clarensac,17
62-62678,62,62678,Quesques,17
77-77432,77,77432,Saint-Rémy-la-Vanne,17
11-11360,11,11360,Saint-Nazaire-d'Aude,17
77-77180,77,77180,Férolles-Attilly,17
72-72282,72,72282,Saint-Georges-le-Gaultier,17
30-30112,30,30112,Fons,17
62-62112,62,62112,Berles-au-Bois,17
77-77239,77,77239,Jouy-le-Châtel,17
62-62316,62,62316,Estrée-Wamin,17
87-87002,87,87002,Ambazac,17
62-62672,62,62672,Puisieux,17
57-57275,57,57275,Guessling-Hémering,17
77-77439,77,77439,Salins,17
72-72163,72,72163,Ligron,17
26-26340,26,26340,Séderon,17
66-66101,66,66101,Llupia,17
22-22015,22,22015,Bréhand,17
02-02186,02,02186,Chézy-sur-Marne,17
57-57067,57,57067,Bertrange,17
54-54505,54,54505,Sexey-aux-Forges,17
77-77124,77,77124,Conches-sur-Gondoire,17
53-53204,53,53204,Saint-Calais-du-Désert,17
59-59344,59,59344,Leval,17
63-63083,63,63083,Chanat-la-Mouteyre,17
51-51344,51,51344,Mardeuil,17
73-73003,73,73003,Aigueblanche,17
50-50294,50,50294,Martinvast,17
90-90029,90,90029,Cravanche,17
57-57454,57,57454,Mécleuves,17
35-35125,35,35125,Guerche-de-Bretagne,17
67-67115,67,67115,Ebersheim,17
72-72235,72,72235,Piacé,17
02-02576,02,02576,Osly-Courtil,17
91-91679,91,91679,Villiers-le-Bâcle,17
78-78090,78,78090,Bouafle,17
59-59197,59,59197,Ennevelin,17
91-91482,91,91482,Pecqueuse,17
59-59413,59,59413,Montigny-en-Cambrésis,17
77-77104,77,77104,Châtres,17
59-59336,59,59336,Lécluse,17
76-76652,76,76652,Saint-Vaast-d'Équiqueville,17
95-95023,95,95023,Arronville,17
40-40328,40,40328,Vieux-Boucau-les-Bains,17
30-30315,30,30315,Saze,17
62-62694,62,62694,Rebreuve-sur-Canche,17
67-67448,67,67448,Schirmeck,17
31-31399,31,31399,Noé,17
13-13046,13,13046,Gréasque,17
62-62021,62,62021,Alette,17
62-62631,62,62631,Nuncq-Hautecôte,17
22-22034,22,22034,Cavan,17
81-81042,81,81042,Burlats,17
59-59126,59,59126,Cantin,17
67-67463,67,67463,Seltz,17
78-78502,78,78502,Port-Marly,17
78-78616,78,78616,Thoiry,17
91-91648,91,91648,Vert-le-Grand,17
62-62011,62,62011,Agnez-lès-Duisans,17
91-91631,91,91631,Varennes-Jarcy,17
27-27330,27,27330,Herqueville,17
27-27091,27,27091,Bosgouet,17
91-91579,91,91579,Saint-Vrain,17
61-61275,61,61275,Merlerault,17
59-59345,59,59345,Lewarde,17
22-22237,22,22237,Pluduno,17
59-59423,59,59423,Neuf-Berquin,17
62-62009,62,62009,Adinfer,17
83-83095,83,83095,Pontevès,17
45-45126,45,45126,Donnery,16
29-29197,29,29197,Plouhinec,16
26-26248,26,26248,Pontaix,16
89-89074,89,89074,Champigny,16
62-62310,62,62310,Essars,16
26-26332,26,26332,Saint-Uze,16
80-80696,80,80696,Sains-en-Amiénois,16
56-56151,56,56151,Noyal-Pontivy,16
15-15258,15,15258,Vic-sur-Cère,16
38-38363,38,38363,Saint-Barthélemy,16
47-47165,47,47165,Meilhan-sur-Garonne,16
62-62670,62,62670,Preures,16
82-82038,82,82038,Caylus,16
74-74237,74,74237,Saint-Gingolph,16
14-14200,14,14200,Creully sur Seulles,16
77-77472,77,77472,Trétoire,16
73-73153,73,73153,Marthod,16
30-30253,30,30253,Saint-Florent-sur-Auzonnet,16
88-88516,88,88516,Vittel,16
59-59065,59,59065,Bellignies,16
73-73154,73,73154,Mercury,16
33-33315,33,33315,Peintures,16
42-42299,42,42299,Savigneux,16
79-79236,79,79236,Saint-André-sur-Sèvre,16
38-38077,38,38077,Chapelle-de-Surieu,16
53-53244,53,53244,Saint-Ouën-des-Vallons,16
26-26292,26,26292,Saint-Auban-sur-l'Ouvèze,16
27-27500,27,27500,Routot,16
81-81320,81,81320,Vindrac-Alayrac,16
26-26284,26,26284,Roussas,16
83-83036,83,83036,Cavalaire-sur-Mer,16
29-29185,29,29185,Plouescat,16
06-06015,06,06015,Berre-les-Alpes,16
26-26300,26,26300,Saint-Dizier-en-Diois,16
62-62307,62,62307,Escalles,16
26-26273,26,26273,Rochefort-Samson,16
62-62291,62,62291,Éleu-dit-Leauwette,16
62-62841,62,62841,Vendin-lès-Béthune,16
30-30204,30,30204,Potelières,16
53-53111,53,53111,Haie-Traversaine,16
45-45187,45,45187,Lorris,16
38-38063,38,38063,Burcin,16
18-18229,18,18229,Saint-Palais,16
30-30267,30,30267,Saint-Jean-de-Serres,16
04-04006,04,04006,Allos,16
47-47179,47,47179,Monsempron-Libos,16
83-83092,83,83092,Pignans,16
76-76349,76,76349,Hautot-sur-Mer,16
29-29181,29,29181,Plouédern,16
73-73146,73,73146,Lescheraines,16
64-64490,64,64490,Saint-Martin-d'Arrossa,16
61-61222,61,61222,Landisacq,16
30-30101,30,30101,Deaux,16
26-26337,26,26337,Saulce-sur-Rhône,16
03-03305,03,03305,Verneix,16
35-35341,35,35341,Tremblay,16
71-71120,71,71120,Chauffailles,16
27-27134,27,27134,Cauverville-en-Roumois,16
95-95678,95,95678,Villiers-Adam,16
91-91332,91,91332,Leudeville,16
13-13017,13,13017,Boulbon,16
71-71073,71,71073,Chagny,16
13-13020,13,13020,Cadolive,16
62-62477,62,62477,Izel-lès-Hameau,16
07-07025,07,07025,Barnas,16
51-51453,51,51453,Recy,16
85-85132,85,85132,Maillé,16
02-02041,02,02041,Autreville,16
82-82149,82,82149,Réalville,16
78-78391,78,78391,Méricourt,16
34-34074,34,34074,Cessenon-sur-Orb,16
62-62638,62,62638,Oisy-le-Verger,16
17-17283,17,17283,Pons,16
33-33517,33,33517,Soussans,16
13-13065,13,13065,Mouriès,16
07-07039,07,07039,Bozas,16
09-09113,09,09113,Ercé,16
76-76136,76,76136,Brachy,16
62-62530,62,62530,Lottinghen,16
07-07322,07,07322,Thueyts,16
91-91629,91,91629,Valpuiseaux,16
77-77325,77,77325,Mouy-sur-Seine,16
62-62869,62,62869,Wailly,16
01-01095,01,01095,Nivigne et Suran,16
72-72356,72,72356,Thoiré-sur-Dinan,16
10-10240,10,10240,Messon,16
72-72342,72,72342,Souvigné-sur-Même,16
53-53115,53,53115,Hercé,16
62-62598,62,62598,Muncq-Nieurlet,16
77-77370,77,77370,Poligny,16
50-50400,50,50400,Picauville,16
67-67137,67,67137,Fegersheim,16
53-53118,53,53118,Housseau-Brétignolles,16
07-07051,07,07051,Champagne,16
77-77359,77,77359,Perthes,16
88-88075,88,88075,Bresse,16
34-34014,34,34014,Assas,16
01-01098,01,01098,Chazey-Bons,16
77-77368,77,77368,Poigny,16
38-38260,38,38260,Moras,16
59-59288,59,59288,Haulchin,16
36-36103,36,36103,Luçay-le-Mâle,16
26-26349,26,26349,Tersanne,16
85-85072,85,85072,Copechagnière,16
77-77435,77,77435,Saint-Sauveur-sur-École,16
62-62850,62,62850,Vieil-Hesdin,16
10-10209,10,10209,Lusigny-sur-Barse,16
38-38326,38,38326,Prunières,16
43-43174,43,43174,Saint-Christophe-sur-Dolaison,16
01-01422,01,01422,Tossiat,16
72-72277,72,72277,Saint-Denis-des-Coudrais,16
59-59309,59,59309,Hondschoote,16
07-07161,07,07161,Montpezat-sous-Bauzon,16
43-43188,43,43188,Saint-Georges-d'Aurac,16
26-26346,26,26346,Suze,16
71-71520,71,71520,Sevrey,16
03-03320,03,03320,Ygrande,16
43-43135,43,43135,Monastier-sur-Gazeille,16
43-43130,43,43130,Mazet-Saint-Voy,16
62-62332,62,62332,Ficheux,16
33-33407,33,33407,Saint-Genès-de-Fronsac,16
73-73129,73,73129,Grésy-sur-Isère,16
14-14066,14,14066,Bernières-sur-Mer,16
27-27447,27,27447,Val-Doré,16
27-27228,27,27228,Éturqueraye,16
59-59291,59,59291,Hautmont,16
26-26373,26,26373,Vesc,16
30-30024,30,30024,Aulas,16
85-85041,85,85041,Cezais,16
72-72309,72,72309,Saint-Paul-le-Gaultier,16
02-02602,02,02602,Pinon,16
72-72293,72,72293,Saint-Jean-du-Bois,16
56-56041,56,56041,Cléguérec,16
43-43261,43,43261,Vézézoux,16
45-45025,45,45025,Bazoches-les-Gallerandes,16
21-21605,21,21605,Sennecey-lès-Dijon,16
26-26372,26,26372,Vers-sur-Méouge,16
26-26358,26,26358,Upie,16
26-26368,26,26368,Vercheny,16
38-38295,38,38295,Parmilieu,16
43-43236,43,43236,Séauve-sur-Semène,16
30-30079,30,30079,Chambon,16
73-73105,73,73105,Échelles,16
14-14009,14,14009,Amfreville,16
66-66205,66,66205,Tautavel,16
62-62369,62,62369,Gavrelle,16
43-43218,43,43218,Saint-Pierre-Eynac,16
26-26246,26,26246,Ponet-et-Saint-Auban,16
62-62214,62,62214,Carly,16
41-41235,41,41235,Sargé-sur-Braye,16
27-27287,27,27287,Glisolles,16
61-61070,61,61070,Caligny,16
89-89460,89,89460,Villeneuve-la-Guyard,16
28-28391,28,28391,Toury,16
10-10053,10,10053,Bouranton,16
07-07295,07,07295,Saint-Sauveur-de-Montagut,16
57-57025,57,57025,Anzeling,16
59-59369,59,59369,Maing,16
62-62741,62,62741,Saint-Amand,16
68-68204,68,68204,Metzeral,16
03-03085,03,03085,Coulandon,16
26-26098,26,26098,Cobonne,16
26-26094,26,26094,Claveyson,16
