code_dept_commune,code_departement,code_commune_INSEE,nom_commune,nb_arrets
29-29163,29,29163,Pleyber-Christ,11
62-62487,62,62487,Landrethun-le-Nord,11
60-60700,60,60700,Warluis,11
95-95651,95,95651,Vétheuil,11
25-25411,25,25411,Morteau,11
62-62479,62,62479,Labeuvrière,11
59-59381,59,59381,Maresches,11
77-77343,77,77343,Ocquerre,11
79-79268,79,79268,Saint-Loup-Lamairé,11
60-60570,60,60570,Saint-Crépin-Ibouvillers,11
25-25418,25,25418,Nancray,11
59-59337,59,59337,Lederzeele,11
76-76573,76,76573,Saint-Denis-le-Thiboult,11
72-72212,72,72212,Moulins-le-Carbonnel,11
01-01105,01,01105,Civrieux,11
55-55369,55,55369,Naives-Rosières,11
60-60587,60,60587,Saint-Martin-Longueau,11
66-66132,66,66132,Palau-de-Cerdagne,11
91-91560,91,91560,Saint-Jean-de-Beauregard,11
05-05038,05,05038,Château-Ville-Vieille,11
05-05079,05,05079,Monêtier-les-Bains,11
79-79201,79,79201,Pamproux,11
81-81026,81,81026,Bellegarde-Marsal,11
27-27367,27,27367,Lieurey,11
59-59180,59,59180,Doulieu,11
22-22094,22,22094,Lancieux,11
62-62549,62,62549,Marconne,11
27-27206,27,27206,Droisy,11
11-11102,11,11102,Couffoulens,11
07-07056,07,07056,Charnas,11
90-90006,90,90006,Auxelles-Haut,11
72-72353,72,72353,Théligny,11
27-27227,27,27227,Étréville,11
05-05089,05,05089,Montrond,11
08-08199,08,08199,Grandville,11
30-30057,30,30057,Cabrières,11
86-86183,86,86183,Ormes,11
67-67256,67,67256,Lampertheim,11
13-13068,13,13068,Paradou,11
81-81202,81,81202,Parisot,11
91-91100,91,91100,Bouville,11
60-60409,60,60409,Monchy-Saint-Éloi,11
25-25265,25,25265,Geneuille,11
62-62609,62,62609,Neuville-Saint-Vaast,11
21-21464,21,21464,Nuits-Saint-Georges,11
87-87105,87,87105,Neuvic-Entier,11
49-49274,49,49274,Saint-Cyr-en-Bourg,11
45-45229,45,45229,Nogent-sur-Vernisson,11
13-13099,13,13099,Saint-Paul-lès-Durance,11
22-22254,22,22254,Prat,11
21-21317,21,21317,Is-sur-Tille,11
51-51612,51,51612,Blancs-Coteaux,11
77-77363,77,77363,Pin,11
04-04240,04,04240,Villars-Colmars,11
08-08327,08,08327,Nouvion-sur-Meuse,11
80-80765,80,80765,Tours-en-Vimeu,11
04-04230,04,04230,Valensole,11
61-61189,61,61189,Giel-Courteilles,11
76-76480,76,76480,Ocqueville,11
08-08341,08,08341,Poix-Terron,11
62-62595,62,62595,Moulle,11
76-76547,76,76547,Rue-Saint-Pierre,11
53-53076,53,53076,Cossé-en-Champagne,11
09-09189,09,09189,Mérens-les-Vals,11
11-11315,11,11315,Rieux-Minervois,11
62-62463,62,62463,Hucqueliers,11
73-73216,73,73216,Rognaix,11
84-84070,84,84070,Malemort-du-Comtat,11
22-22207,22,22207,Plouaret,11
80-80622,80,80622,Picquigny,11
53-53027,53,53027,Beaumont-Pied-de-Bœuf,11
87-87027,87,87027,Bussière-Galant,11
21-21315,21,21315,Hauteville-lès-Dijon,11
77-77358,77,77358,Penchard,11
01-01308,01,01308,Pougny,11
77-77511,77,77511,Villeneuve-sous-Dammartin,11
59-59140,59,59140,Caullery,11
95-95271,95,95271,Génicourt,11
39-39233,39,39233,Foucherans,11
34-34282,34,34282,Saint-Paul-et-Valmalle,11
91-91159,91,91159,Chevannes,11
59-59412,59,59412,Montay,11
62-62818,62,62818,Tilly-Capelle,11
84-84126,84,84126,Séguret,11
14-14119,14,14119,Cagny,11
66-66071,66,66071,Estagel,11
62-62218,62,62218,Caucourt,11
27-27294,27,27294,Val d'Orger,11
21-21383,21,21383,Marcilly-sur-Tille,11
62-62655,62,62655,Pierremont,11
80-80809,80,80809,Vismes,11
08-08140,08,08140,Dom-le-Mesnil,11
70-70433,70,70433,Quincey,11
62-62172,62,62172,Boyelles,11
31-31075,31,31075,Bonrepos-sur-Aussonnelle,11
33-33518,33,33518,Tabanac,11
04-04149,04,04149,Peyruis,11
42-42091,42,42091,Estivareilles,11
38-38258,38,38258,Mont-Saint-Martin,11
26-26039,26,26039,Beauregard-Baret,11
76-76125,76,76125,Bosc-le-Hard,11
52-52547,52,52547,Vouécourt,11
62-62166,62,62166,Bours,11
88-88492,88,88492,Valtin,11
48-48037,48,48037,Chadenet,11
59-59613,59,59613,Vicq,11
66-66020,66,66020,Bolquère,11
70-70310,70,70310,Lure,11
04-04026,04,04026,Bellaffaire,11
62-62156,62,62156,Bonningues-lès-Calais,11
02-02013,02,02013,Amifontaine,11
88-88531,88,88531,Xonrupt-Longemer,11
57-57110,57,57110,Brettnach,11
62-62018,62,62018,Aix-en-Issart,11
80-80826,80,80826,Woignarue,11
78-78113,78,78113,Brueil-en-Vexin,11
59-59499,59,59499,Rexpoëde,11
59-59078,59,59078,Beugnies,11
54-54433,54,54433,Port-sur-Seille,11
76-76090,76,76090,Beuzeville-la-Grenier,11
62-62200,62,62200,Cambrin,11
05-05156,05,05156,Saint-Sauveur,11
62-62198,62,62198,Cambligneul,11
62-62872,62,62872,Wamin,11
24-24527,24,24527,Savignac-les-Églises,11
95-95660,95,95660,Villaines-sous-Bois,11
21-21639,21,21639,Tillenay,11
71-71040,71,71040,Blanzy,11
31-31020,31,31020,Aspet,11
84-84095,84,84095,Puyvert,11
50-50138,50,50138,Colomby,11
79-79293,79,79293,Saint-Rémy,11
31-31375,31,31375,Montesquieu-Volvestre,11
76-76714,76,76714,Trois-Pierres,11
59-59229,59,59229,Féron,11
71-71019,71,71019,Barizey,11
01-01426,01,01426,Val-Revermont,11
51-51160,51,51160,Compertrix,11
48-48021,48,48021,Bastide-Puylaurent,11
76-76306,76,76306,Gonnetot,11
66-66225,66,66225,Villelongue-dels-Monts,11
01-01148,01,01148,Dortan,11
46-46009,46,46009,Assier,11
17-17136,17,17136,Croix-Chapeau,11
54-54521,54,54521,Thil,11
76-76315,76,76315,Grainville-la-Teinturière,11
84-84008,84,84008,Barroux,11
24-24291,24,24291,Montignac,11
76-76229,76,76229,Elbeuf-en-Bray,11
01-01443,01,01443,Villars-les-Dombes,11
17-17109,17,17109,Clavette,11
54-54007,54,54007,Aingeray,11
80-80406,80,80406,Hallencourt,11
76-76289,76,76289,Saint Martin de l'If,11
62-62108,62,62108,Berck,11
84-84148,84,84148,Villes-sur-Auzon,11
53-53131,53,53131,Lesbois,11
62-62088,62,62088,Bayenghem-lès-Seninghem,11
76-76285,76,76285,Fresne-le-Plan,11
26-26087,26,26087,Châtillon-Saint-Jean,11
11-11441,11,11441,Vinassan,11
24-24354,24,24354,Roche-Chalais,11
79-79156,79,79156,Louin,11
01-01072,01,01072,Ceyzériat,11
90-90055,90,90055,Grosne,11
88-88233,88,88233,Harol,11
26-26052,26,26052,Bonlieu-sur-Roubion,11
79-79321,79,79321,Taizé-Maulais,11
42-42039,42,42039,Chalmazel-Jeansagnière,11
33-33320,33,33320,Petit-Palais-et-Cornemps,11
42-42036,42,42036,Chagnon,11
62-62147,62,62147,Boiry-Sainte-Rictrude,11
62-62760,62,62760,Saint-Martin-d'Hardinghem,11
62-62776,62,62776,Sapignies,11
48-48003,48,48003,Allenc,11
62-62142,62,62142,Blingel,11
59-59311,59,59311,Honnechy,11
53-53053,53,53053,Champgenéteux,11
79-79157,79,79157,Louzy,11
84-84030,84,84030,Caromb,11
62-62049,62,62049,Auchy-au-Bois,11
77-77051,77,77051,Bray-sur-Seine,11
31-31316,31,31316,Marignac,11
54-54527,54,54527,Tonnoy,11
79-79345,79,79345,Verruyes,11
60-60044,60,60044,Balagny-sur-Thérain,11
80-80234,80,80234,Daours,11
59-59639,59,59639,Wargnies-le-Grand,11
57-57063,57,57063,Bérig-Vintrange,11
49-49235,49,49235,Parnay,11
62-62220,62,62220,Cavron-Saint-Martin,11
80-80025,80,80025,Argoules,11
62-62306,62,62306,Ervillers,11
62-62299,62,62299,Eps,11
88-88367,88,88367,Rambervillers,11
66-66046,66,66046,Caudiès-de-Fenouillèdes,11
67-67362,67,67362,Orschwiller,11
62-62296,62,62296,Enquin-sur-Baillons,11
76-76654,76,76654,Saint-Vaast-du-Val,11
49-49009,49,49009,Antoigné,11
42-42318,42,42318,Usson-en-Forez,11
62-62285,62,62285,Écoust-Saint-Mein,11
78-78262,78,78262,Galluis,11
55-55010,55,55010,Ancerville,11
79-79056,79,79056,Brion-près-Thouet,11
59-59326,59,59326,Killem,11
62-62281,62,62281,Echinghen,11
02-02305,02,02305,Fère-en-Tardenois,11
77-77163,77,77163,Douy-la-Ramée,11
78-78464,78,78464,Orcemont,11
68-68104,68,68104,Geiswasser,11
62-62888,62,62888,Wierre-au-Bois,11
30-30326,30,30326,Tavel,11
90-90066,90,90066,Leval,11
14-14557,14,14557,Saint-Arnoult,11
90-90073,90,90073,Moval,11
62-62308,62,62308,Escœuilles,11
62-62309,62,62309,Esquerdes,11
77-77199,77,77199,Fublaines,11
67-67028,67,67028,Benfeld,11
78-78478,78,78478,Paray-Douaville,11
02-02058,02,02058,Beaurieux,11
66-66067,66,66067,Err,11
56-56130,56,56130,Merlevenez,11
30-30166,30,30166,Meynes,11
34-34143,34,34143,Loupian,11
59-59505,59,59505,Rombies-et-Marchipont,11
05-05119,05,05119,Risoul,11
34-34131,34,34131,Lauret,11
89-89337,89,89337,Saint-Bris-le-Vineux,11
55-55041,55,55041,Behonne,11
62-62892,62,62892,Willerval,11
56-56147,56,56147,Nivillac,11
30-30179,30,30179,Montfrin,11
72-72018,72,72018,Avesnes-en-Saosnois,11
87-87188,87,87188,Saint-Yrieix-sous-Aixe,11
77-77185,77,77185,Fleury-en-Bière,11
27-27655,27,27655,Tourville-sur-Pont-Audemer,11
30-30184,30,30184,Moussac,11
25-25611,25,25611,Vèze,11
78-78460,78,78460,Oinville-sur-Montcient,11
81-81277,81,81277,Saussenac,11
76-76382,76,76382,Lanquetot,11
07-07198,07,07198,Rompon,11
67-67424,67,67424,Saint-Blaise-la-Roche,11
54-54127,54,54127,Chenières,11
76-76665,76,76665,Sauchay,11
50-50231,50,50231,Hauteville-sur-Mer,11
21-21661,21,21661,Velars-sur-Ouche,11
34-34042,34,34042,Brissac,11
59-59567,59,59567,Séranvillers-Forenville,11
54-54410,54,54410,Onville,11
27-27493,27,27493,Romilly-sur-Andelle,11
42-42199,42,42199,Saint-André-d'Apchon,11
71-71221,71,71221,Givry,11
05-05147,05,05147,Saint-Julien-en-Champsaur,11
50-50267,50,50267,Lessay,11
27-27670,27,27670,Vandrimare,11
90-90058,90,90058,Lachapelle-sous-Rougemont,11
57-57374,57,57374,Lafrimbolle,11
34-34016,34,34016,Aumelas,11
31-31402,31,31402,Odars,11
76-76072,76,76072,Belleville-en-Caux,11
48-48086,48,48086,Luc,11
11-11024,11,11024,Bages,11
76-76048,76,76048,Avesnes-en-Bray,11
38-38166,38,38166,Flachère,11
67-67021,67,67021,Barr,11
72-72317,72,72317,Saint-Rémy-du-Val,11
30-30261,30,30261,Saint-Hippolyte-de-Caton,11
76-76432,76,76432,Mesnil-Mauger,11
77-77391,77,77391,Rouilly,11
76-76420,76,76420,Mauquenchy,11
62-62630,62,62630,Noyelle-Vion,11
80-80288,80,80288,Estrées-Deniécourt,11
67-67414,67,67414,Rothau,11
46-46127,46,46127,Gourdon,11
78-78443,78,78443,Neauphle-le-Vieux,11
38-38149,38,38149,Domarin,11
11-11178,11,11178,Labastide-d'Anjou,11
53-53068,53,53068,Chérancé,11
06-06039,06,06039,Châteauneuf-Villevieille,11
34-34078,34,34078,Claret,11
45-45119,45,45119,Dadonville,10
55-55500,55,55500,Spincourt,10
45-45129,45,45129,Douchy-Montcorbon,10
55-55467,55,55467,Sampigny,10
09-09160,09,09160,Lavelanet,10
27-27678,27,27678,Ventes,10
45-45137,45,45137,Escrennes,10
55-55385,55,55385,Nixéville-Blercourt,10
79-79016,79,79016,Assais-les-Jumeaux,10
63-63066,63,63066,Celles-sur-Durolle,10
55-55388,55,55388,Noyers-Auzécourt,10
29-29201,29,29201,Ploumoguer,10
63-63139,63,63139,Dore-l'Église,10
45-45108,45,45108,Coullons,10
63-63125,63,63125,Courpière,10
09-09121,09,09121,Ferrières-sur-Ariège,10
29-29206,29,29206,Plounévez-Lochrist,10
45-45134,45,45134,Épieds-en-Beauce,10
09-09131,09,09131,Garanou,10
63-63038,63,63038,Besse-et-Saint-Anastaise,10
11-11115,11,11115,Cuxac-Cabardès,10
77-77478,77,77478,Ussy-sur-Marne,10
62-62685,62,62685,Radinghem,10
54-54149,54,54149,Crusnes,10
79-79136,79,79136,Alloinay,10
64-64520,64,64520,Serres-Morlaàs,10
11-11021,11,11021,Axat,10
84-84145,84,84145,Villars,10
54-54426,54,54426,Pierre-la-Treiche,10
54-54112,54,54112,Chambley-Bussières,10
65-65398,65,65398,Saléchan,10
65-65427,65,65427,Siradan,10
04-04008,04,04008,Annot,10
54-54449,54,54449,Rehainviller,10
01-01267,01,01267,Nurieux-Volognat,10
50-50546,50,50546,Bourgvallées,10
28-28294,28,28294,Oysonville,10
62-62779,62,62779,Sarton,10
29-29042,29,29042,Crozon,10
47-47203,47,47203,Penne-d'Agenais,10
79-79147,79,79147,Largeasse,10
64-64478,64,64478,Saint-Faust,10
64-64467,64,64467,Rontignon,10
64-64461,64,64461,Puyoô,10
54-54046,54,54046,Barisey-au-Plain,10
27-27427,27,27427,Neaufles-Auvergny,10
47-47252,47,47252,Sainte-Livrade-sur-Lot,10
64-64259,64,64259,Hélette,10
04-04025,04,04025,Beauvezer,10
78-78366,78,78366,Mareil-le-Guyon,10
80-80706,80,80706,Saint-Léger-lès-Domart,10
46-46015,46,46015,Bagnac-sur-Célé,10
11-11037,11,11037,Berriac,10
95-95102,95,95102,Bréançon,10
11-11164,11,11164,Ginestas,10
65-65007,65,65007,Andrest,10
09-09032,09,09032,Ax-les-Thermes,10
54-54284,54,54284,Joudreville,10
46-46268,46,46268,Saint Géry-Vers,10
78-78189,78,78189,Crespières,10
49-49288,49,49288,Saint-Jean-de-la-Croix,10
11-11099,11,11099,Conques-sur-Orbiel,10
11-11098,11,11098,Conilhac-Corbières,10
50-50591,50,50591,Teilleul,10
54-54312,54,54312,Lesménils,10
11-11124,11,11124,Durban-Corbières,10
54-54227,54,54227,Giraumont,10
62-62806,62,62806,Tardinghen,10
04-04018,04,04018,Banon,10
54-54202,54,54202,Fontenoy-sur-Moselle,10
54-54375,54,54375,Montauville,10
01-01288,01,01288,Péron,10
54-54350,54,54350,Marainviller,10
62-62802,62,62802,Souich,10
11-11081,11,11081,Caunes-Minervois,10
79-79130,79,79130,Frontenay-Rohan-Rohan,10
54-54365,54,54365,Merviller,10
28-28366,28,28366,Santeuil,10
80-80791,80,80791,Vers-sur-Selle,10
95-95078,95,95078,Boissy-l'Aillerie,10
62-62826,62,62826,Touquet-Paris-Plage,10
47-47065,47,47065,Clairac,10
11-11063,11,11063,Campagne-sur-Aude,10
54-54165,54,54165,Dommartemont,10
50-50535,50,50535,Parc,10
03-03128,03,03128,Huriel,10
64-64250,64,64250,Guiche,10
77-77507,77,77507,Villenauxe-la-Petite,10
01-01209,01,01209,Léaz,10
66-66096,66,66096,Latour-de-France,10
79-79083,79,79083,Chef-Boutonne,10
01-01384,01,01384,Saint-Rambert-en-Bugey,10
03-03233,03,03233,Saint-Genest,10
27-27582,27,27582,Saint-Ouen-du-Tilleul,10
45-45233,45,45233,Ondreville-sur-Essonne,10
77-77519,77,77519,Villiers-Saint-Georges,10
45-45230,45,45230,Noyers,10
28-28027,28,28027,Bazoche-Gouet,10
27-27238,27,27238,Ferrières-Haut-Clocher,10
78-78567,78,78567,Saint-Martin-la-Garenne,10
27-27594,27,27594,Saint-Pierre-des-Ifs,10
55-55215,55,55215,Gondrecourt-le-Château,10
53-53223,53,53223,Saint-Germain-de-Coulamer,10
63-63233,63,63233,Montaigut,10
63-63227,63,63227,Mirefleurs,10
45-45206,45,45206,Mignères,10
09-09244,09,09244,Rieucros,10
27-27700,27,27700,Vraiville,10
63-63200,63,63200,Lussat,10
85-85113,85,85113,Île-d'Yeu,10
09-09235,09,09235,Prat-Bonrepaux,10
77-77483,77,77483,Varreddes,10
63-63004,63,63004,Ancizes-Comps,10
79-79075,79,79075,Chapelle-Saint-Étienne,10
62-62689,62,62689,Ransart,10
01-01189,01,01189,Injoux-Génissiat,10
49-49058,49,49058,Cerqueux,10
78-78503,78,78503,Port-Villez,10
45-45346,45,45346,Vitry-aux-Loges,10
62-62747,62,62747,Saint-Floris,10
45-45344,45,45344,Villorceau,10
29-29067,29,29067,Guerlesquin,10
64-64202,64,64202,Domezain-Berraute,10
03-03025,03,03025,Bessay-sur-Allier,10
03-03022,03,03022,Bellenaves,10
64-64142,64,64142,Bougarber,10
78-78382,78,78382,Maurecourt,10
79-79162,79,79162,Magné,10
66-66025,66,66025,Bourg-Madame,10
53-53256,53,53256,Saint-Thomas-de-Courceriers,10
64-64123,64,64123,Bidache,10
45-45301,45,45301,Santeau,10
45-45300,45,45300,Sandillon,10
79-79174,79,79174,Melle,10
45-45260,45,45260,Ramoulu,10
62-62743,62,62743,Sainte-Austreberthe,10
53-53237,53,53237,Saint-Mars-sur-Colmont,10
64-64080,64,64080,Aussevielle,10
45-45290,45,45290,Saint-Martin-d'Abbat,10
53-53233,53,53233,Saint-Loup-du-Dorat,10
66-66027,66,66027,Cabanasse,10
03-03010,03,03010,Audes,10
53-53230,53,53230,Saint-Julien-du-Terroux,10
95-95177,95,95177,Cormeilles-en-Vexin,10
64-64037,64,64037,Arbus,10
64-64014,64,64014,Ainhoa,10
63-63420,63,63420,Seychalles,10
62-62717,62,62717,Roëllecourt,10
